Flat_Price,EMI_Starts,BHK,Location,Total_sq.ft,Price_per_sq.ft,EMI,Flat_Price_K
35.0 L,18.53 K,2,Sarsuna,1400,2.5,18.53,3500
1.1 Cr,54.61 K,5,Garia,2500,4.4,54.61,11000
80.0 L,39.72 K,5,Garia,2100,3.81,39.72,8000
95.0 L,47.16 K,5,Ganguly Bagan,2400,3.96,47.16,9500
2.2 Cr,1.09 Lacs,6,Salt Lake City,2340,9.4,109,22000
2.2 Cr,1.09 Lacs,5,Salt Lake City,2340,9.4,109,22000
2.2 Cr,1.09 Lacs,4,Kasba,2600,8.46,109,22000
2.2 Cr,1.09 Lacs,4,Salt Lake City,2340,9.4,109,22000
1.6 Cr,79.43 K,3,Salt Lake City,1620,9.88,79.43,16000
3.4 Cr,1.69 Lacs,7,Salt Lake City,3060,11.11,169,34000
2.13 Cr,1.06 Lacs,4,Panchpota,1650,12.91,106,21300
14.0 Cr,6.95 Lacs,10,Gariahat,13332,10.5,695,140000
3.5 Cr,1.74 Lacs,9,Kalighat,4075,8.59,174,35000
65.0 L,34.42 K,4,Mukundapur,1400,4.64,34.42,6500
20.18 L,10.69 K,2,Khardah,900,2.24,10.69,2018
70.0 L,37.07 K,3,Bansdroni,2200,3.18,37.07,7000
45.0 L,23.83 K,3,Mukundapur,2000,2.25,23.83,4500
10.51 Cr,5.22 Lacs,10,New Alipore,10000,10.51,522,105100
1.05 Cr,52.13 K,3,Kasba,3900,2.69,52.13,10500
70.0 L,37.07 K,5,Bramhapur,2400,2.92,37.07,7000
35.0 L,18.53 K,2,Sarsuna,1400,2.5,18.53,3500
1.1 Cr,54.61 K,5,Garia,2500,4.4,54.61,11000
80.0 L,39.72 K,5,Garia,2100,3.81,39.72,8000
95.0 L,47.16 K,5,Ganguly Bagan,2400,3.96,47.16,9500
2.2 Cr,1.09 Lacs,6,Salt Lake City,2340,9.4,109,22000
2.2 Cr,1.09 Lacs,5,Salt Lake City,2340,9.4,109,22000
2.2 Cr,1.09 Lacs,4,Kasba,2600,8.46,109,22000
2.2 Cr,1.09 Lacs,4,Salt Lake City,2340,9.4,109,22000
1.6 Cr,79.43 K,3,Salt Lake City,1620,9.88,79.43,16000
3.4 Cr,1.69 Lacs,7,Salt Lake City,3060,11.11,169,34000
3.1 Cr,1.54 Lacs,7,Salt Lake City,3060,10.13,154,31000
2.5 Cr,1.24 Lacs,5,Salt Lake City,2320,10.78,124,25000
2.5 Cr,1.24 Lacs,5,Salt Lake City,2340,10.68,124,25000
4.0 Cr,1.99 Lacs,8,Salt Lake City,3800,10.53,199,40000
2.4 Cr,1.19 Lacs,6,Salt Lake City,2340,10.26,119,24000
2.25 Cr,1.12 Lacs,5,Salt Lake City,2340,9.62,112,22500
3.2 Cr,1.59 Lacs,7,Salt Lake City,3060,10.46,159,32000
70.0 L,37.07 K,3,Nayabad,2500,2.8,37.07,7000
1.15 Cr,57.09 K,5,Bansdroni,3000,3.83,57.09,11500
90.0 L,44.68 K,4,Baguihati,2500,3.6,44.68,9000
1.3 Cr,64.54 K,5,Kasba,2500,5.2,64.54,13000
1.5 Cr,74.47 K,10,Keshtopur,2500,6,74.47,15000
1.3 Cr,64.54 K,10,Keshtopur,2800,4.64,64.54,13000
2.9 Cr,1.44 Lacs,5,Lake Gardens,5000,5.8,144,29000
2.75 Cr,1.37 Lacs,6,Lake Gardens,4000,6.88,137,27500
62.0 L,32.83 K,3,Jadavpur,1500,4.13,32.83,6200
28.0 L,14.83 K,2,Joka,650,4.31,14.83,2800
1.65 Cr,81.92 K,6,Behala,4320,3.82,81.92,16500
80.0 L,39.72 K,5,Purba Barisha,1800,4.44,39.72,8000
34.0 L,18.00 K,3,Joka,887,3.83,18,3400
2.2 Cr,1.09 Lacs,7,Kalikapur,4350,5.06,109,22000
3.1 Cr,1.54 Lacs,7,Salt Lake City,3060,10.13,154,31000
2.5 Cr,1.24 Lacs,5,Salt Lake City,2320,10.78,124,25000
2.5 Cr,1.24 Lacs,5,Salt Lake City,2340,10.68,124,25000
4.0 Cr,1.99 Lacs,8,Salt Lake City,3800,10.53,199,40000
2.4 Cr,1.19 Lacs,6,Salt Lake City,2340,10.26,119,24000
2.25 Cr,1.12 Lacs,5,Salt Lake City,2340,9.62,112,22500
3.2 Cr,1.59 Lacs,7,Salt Lake City,3060,10.46,159,32000
70.0 L,37.07 K,3,Nayabad,2500,2.8,37.07,7000
1.15 Cr,57.09 K,5,Bansdroni,3000,3.83,57.09,11500
90.0 L,44.68 K,4,Baguihati,2500,3.6,44.68,9000
1.3 Cr,64.54 K,5,Kasba,2500,5.2,64.54,13000
1.5 Cr,74.47 K,10,Keshtopur,2500,6,74.47,15000
1.3 Cr,64.54 K,10,Keshtopur,2800,4.64,64.54,13000
2.9 Cr,1.44 Lacs,5,Lake Gardens,5000,5.8,144,29000
2.75 Cr,1.37 Lacs,6,Lake Gardens,4000,6.88,137,27500
62.0 L,32.83 K,3,Jadavpur,1500,4.13,32.83,6200
28.0 L,14.83 K,2,Joka,650,4.31,14.83,2800
1.65 Cr,81.92 K,6,Behala,4320,3.82,81.92,16500
80.0 L,39.72 K,5,Purba Barisha,1800,4.44,39.72,8000
34.0 L,18.00 K,3,Joka,887,3.83,18,3400
40.0 L,21.18 K,2,Rajarhat,2520,1.59,21.18,4000
29.5 L,15.62 K,3,Joka,1100,2.68,15.62,2950
37.0 L,19.59 K,3,Joka,1350,2.74,19.59,3700
1.2 Cr,59.58 K,6,Haltu,2200,5.45,59.58,12000
75.0 L,39.72 K,2,Kasba,1000,7.5,39.72,7500
2.5 Cr,1.24 Lacs,8,Maheshtala,4500,5.55,124,25000
13.0 L,6.88 K,2,Ward No 113,600,2.17,6.88,1300
1.6 Cr,79.43 K,6,Baghajatin,2250,7.11,79.43,16000
75.0 L,39.72 K,2,Kasba,1440,5.21,39.72,7500
1.2 Cr,59.58 K,4,Bijoygarh,2000,6,59.58,12000
1.2 Cr,59.58 K,3,Bijoygarh,2521,4.76,59.58,12000
2.0 Cr,99.29 K,10,Madhyamgram,15000,1.33,99.29,20000
3.5 Cr,1.74 Lacs,9,Salt Lake City,3060,11.44,174,35000
1.15 Cr,57.09 K,6,Garia,2200,5.23,57.09,11500
1.2 Cr,59.58 K,3,Bijoygarh,2520,4.76,59.58,12000
1.2 Cr,59.58 K,5,Garia,2100,5.71,59.58,12000
1.4 Cr,69.50 K,6,Garia,3200,4.38,69.5,14000
2.0 Cr,99.29 K,9,New Town,2500,8,99.29,20000
11.9 Cr,5.91 Lacs,3,Kasba,5000,23.8,591,119000
1.6 Cr,79.43 K,3,Salt Lake City,1620,9.88,79.43,16000
40.0 L,21.18 K,2,Rajarhat,2520,1.59,21.18,4000
29.5 L,15.62 K,3,Joka,1100,2.68,15.62,2950
37.0 L,19.59 K,3,Joka,1350,2.74,19.59,3700
1.2 Cr,59.58 K,6,Haltu,2200,5.45,59.58,12000
75.0 L,39.72 K,2,Kasba,1000,7.5,39.72,7500
2.5 Cr,1.24 Lacs,8,Maheshtala,4500,5.55,124,25000
13.0 L,6.88 K,2,Ward No 113,600,2.17,6.88,1300
1.6 Cr,79.43 K,6,Baghajatin,2250,7.11,79.43,16000
75.0 L,39.72 K,2,Kasba,1440,5.21,39.72,7500
1.2 Cr,59.58 K,4,Bijoygarh,2000,6,59.58,12000
1.2 Cr,59.58 K,3,Bijoygarh,2521,4.76,59.58,12000
2.0 Cr,99.29 K,10,Madhyamgram,15000,1.33,99.29,20000
3.5 Cr,1.74 Lacs,9,Salt Lake City,3060,11.44,174,35000
1.15 Cr,57.09 K,6,Garia,2200,5.23,57.09,11500
1.2 Cr,59.58 K,3,Bijoygarh,2520,4.76,59.58,12000
1.2 Cr,59.58 K,5,Garia,2100,5.71,59.58,12000
1.4 Cr,69.50 K,6,Garia,3200,4.38,69.5,14000
2.0 Cr,99.29 K,9,New Town,2500,8,99.29,20000
11.9 Cr,5.91 Lacs,3,Kasba,5000,23.8,591,119000
1.6 Cr,79.43 K,3,Salt Lake City,1620,9.88,79.43,16000
70.0 L,37.07 K,3,Bansdroni,2000,3.5,37.07,7000
70.0 L,37.07 K,3,Bansdroni,2000,3.5,37.07,7000
37.0 L,19.59 K,4,Pailan,1800,2.06,19.59,3700
45.0 L,23.83 K,4,Garfa,1100,4.09,23.83,4500
45.0 L,23.83 K,4,Garfa,1100,4.09,23.83,4500
55.0 L,29.13 K,2,Garfa,550,10,29.13,5500
50.0 L,26.48 K,3,Thakurpukur,1440,3.47,26.48,5000
3.9 Cr,1.94 Lacs,6,Bhowanipore,2100,18.57,194,39000
35.0 L,18.53 K,2,Paschim Putiary,1260,2.78,18.53,3500
65.0 L,34.42 K,2,Kabardanga,2142,3.03,34.42,6500
5.0 Cr,2.48 Lacs,6,Kalighat,4000,12.5,248,50000
6.0 Cr,2.98 Lacs,10,Kalighat,8000,7.5,298,60000
3.25 Cr,1.61 Lacs,9,Salt Lake City,3060,10.62,161,32500
3.0 Cr,1.49 Lacs,10,Kalighat,3000,10,149,30000
1.1 Cr,54.61 K,6,Kasba,2100,5.24,54.61,11000
82.0 L,40.71 K,3,Purba Barisha,3000,2.73,40.71,8200
45.0 L,23.83 K,4,Netaji Nagar,1500,3,23.83,4500
1.5 Cr,74.47 K,5,Bansdroni,3000,5,74.47,15000
1.5 Cr,74.47 K,5,Bansdroni,3000,5,74.47,15000
4.5 Cr,2.23 Lacs,10,Haltu,3700,12.16,223,45000
75.0 L,39.72 K,3,Purba Barisha,1420,5.28,39.72,7500
1.2 Cr,59.58 K,6,Haltu,2200,5.45,59.58,12000
1.15 Cr,57.09 K,6,Garia,2200,5.23,57.09,11500
70.0 L,37.07 K,3,Bansdroni,2000,3.5,37.07,7000
70.0 L,37.07 K,3,Bansdroni,2000,3.5,37.07,7000
37.0 L,19.59 K,4,Pailan,1800,2.06,19.59,3700
45.0 L,23.83 K,4,Garfa,1100,4.09,23.83,4500
45.0 L,23.83 K,4,Garfa,1100,4.09,23.83,4500
55.0 L,29.13 K,2,Garfa,550,10,29.13,5500
50.0 L,26.48 K,3,Thakurpukur,1440,3.47,26.48,5000
3.9 Cr,1.94 Lacs,6,Bhowanipore,2100,18.57,194,39000
35.0 L,18.53 K,2,Paschim Putiary,1260,2.78,18.53,3500
65.0 L,34.42 K,2,Kabardanga,2142,3.03,34.42,6500
5.0 Cr,2.48 Lacs,6,Kalighat,4000,12.5,248,50000
6.0 Cr,2.98 Lacs,10,Kalighat,8000,7.5,298,60000
3.25 Cr,1.61 Lacs,9,Salt Lake City,3060,10.62,161,32500
3.0 Cr,1.49 Lacs,10,Kalighat,3000,10,149,30000
1.1 Cr,54.61 K,6,Kasba,2100,5.24,54.61,11000
82.0 L,40.71 K,3,Purba Barisha,3000,2.73,40.71,8200
45.0 L,23.83 K,4,Netaji Nagar,1500,3,23.83,4500
1.5 Cr,74.47 K,5,Bansdroni,3000,5,74.47,15000
1.5 Cr,74.47 K,5,Bansdroni,3000,5,74.47,15000
4.5 Cr,2.23 Lacs,10,Haltu,3700,12.16,223,45000
60.0 L,31.77 K,3,Garfa,1860,3.23,31.77,6000
1.1 Cr,54.61 K,5,Rajpur Sonarpur,3500,3.14,54.61,11000
2.5 Cr,1.24 Lacs,6,Lake Gardens,3600,6.94,124,25000
5.0 Cr,2.48 Lacs,6,Behala,7000,7.14,248,50000
1.5 Cr,74.47 K,6,Bansdroni,2400,6.25,74.47,15000
80.0 L,39.72 K,3,"Baishnabghata Patuli Township,",2500,3.2,39.72,8000
80.0 L,39.72 K,3,"Baishnabghata Patuli Township,",1650,4.85,39.72,8000
24.0 Cr,11.92 Lacs,10,Ballygunge,10000,24,1192,240000
22.0 L,11.65 K,2,"Baishnabghata Patuli Township,",600,3.67,11.65,2200
7.0 Cr,3.48 Lacs,7,Kalighat,6500,10.77,348,70000
8.0 Cr,3.97 Lacs,7,Kalighat,5500,14.54,397,80000
12.0 Cr,5.96 Lacs,4,Kalighat,7000,17.14,596,120000
9.2 Cr,4.57 Lacs,10,Kalighat,8500,10.82,457,92000
35.0 Cr,17.38 Lacs,10,Elgin,10000,35,1738,350000
35.0 Cr,17.38 Lacs,8,Ballygunge,10000,35,1738,350000
18.0 Cr,8.94 Lacs,9,Kalighat,12000,15,894,180000
13.0 Cr,6.45 Lacs,8,Kalighat,7000,18.57,645,130000
10.5 Cr,5.21 Lacs,8,Kalighat,8000,13.13,521,105000
31.0 Cr,15.39 Lacs,5,Ballygunge,8000,38.75,1539,310000
50.0 L,26.48 K,7,Bansdroni,2500,2,26.48,5000
60.0 L,31.77 K,3,Garfa,1860,3.23,31.77,6000
1.1 Cr,54.61 K,5,Rajpur Sonarpur,3500,3.14,54.61,11000
2.5 Cr,1.24 Lacs,6,Lake Gardens,3600,6.94,124,25000
5.0 Cr,2.48 Lacs,6,Behala,7000,7.14,248,50000
1.5 Cr,74.47 K,6,Bansdroni,2400,6.25,74.47,15000
80.0 L,39.72 K,3,"Baishnabghata Patuli Township,",2500,3.2,39.72,8000
80.0 L,39.72 K,3,"Baishnabghata Patuli Township,",1650,4.85,39.72,8000
24.0 Cr,11.92 Lacs,10,Ballygunge,10000,24,1192,240000
22.0 L,11.65 K,2,"Baishnabghata Patuli Township,",600,3.67,11.65,2200
7.0 Cr,3.48 Lacs,7,Kalighat,6500,10.77,348,70000
8.0 Cr,3.97 Lacs,7,Kalighat,5500,14.54,397,80000
12.0 Cr,5.96 Lacs,4,Kalighat,7000,17.14,596,120000
9.2 Cr,4.57 Lacs,10,Kalighat,8500,10.82,457,92000
35.0 Cr,17.38 Lacs,10,Elgin,10000,35,1738,350000
35.0 Cr,17.38 Lacs,8,Ballygunge,10000,35,1738,350000
18.0 Cr,8.94 Lacs,9,Kalighat,12000,15,894,180000
13.0 Cr,6.45 Lacs,8,Kalighat,7000,18.57,645,130000
10.5 Cr,5.21 Lacs,8,Kalighat,8000,13.13,521,105000
31.0 Cr,15.39 Lacs,5,Ballygunge,8000,38.75,1539,310000
50.0 L,26.48 K,7,Bansdroni,2500,2,26.48,5000
3.0 Cr,1.49 Lacs,8,Salt Lake City,3060,9.8,149,30000
2.9 Cr,1.44 Lacs,8,Salt Lake City,3060,9.48,144,29000
1.3 Cr,64.54 K,6,Tollygunge,3000,4.33,64.54,13000
90.0 L,44.68 K,4,Lake Gardens,2100,4.29,44.68,9000
1.3 Cr,64.54 K,4,Kasba,2000,6.5,64.54,13000
2.8 Cr,1.39 Lacs,10,Madhyamgram,19201,1.46,139,28000
10.0 Cr,4.96 Lacs,10,Kalighat,10600,9.43,496,100000
11.5 Cr,5.71 Lacs,8,Gariahat,8500,13.53,571,115000
7.5 Cr,3.72 Lacs,9,Kalighat,6000,12.5,372,75000
19.0 L,10.06 K,2,Joka,800,2.38,10.06,1900
6.0 Cr,2.98 Lacs,6,New Alipore,1799,33.35,298,60000
1.0 Cr,49.65 K,7,Purba Barisha,2160,4.63,49.65,10000
2.8 Cr,1.39 Lacs,10,Bijoygarh,4500,6.22,139,28000
85.0 L,42.20 K,4,Kamdahari,1200,7.08,42.2,8500
1.3 Cr,64.54 K,5,New Alipore,1600,8.13,64.54,13000
1.0 Cr,49.65 K,5,New Town,2400,4.17,49.65,10000
2.5 Cr,1.24 Lacs,4,Lake Gardens,3200,7.81,124,25000
4.5 Cr,2.23 Lacs,6,Lake Gardens,4000,11.25,223,45000
1.4 Cr,69.50 K,5,Mukundapur,2000,7,69.5,14000
5.0 Cr,2.48 Lacs,10,Bow Bazaar,4000,12.5,248,50000
3.0 Cr,1.49 Lacs,8,Salt Lake City,3060,9.8,149,30000
2.9 Cr,1.44 Lacs,8,Salt Lake City,3060,9.48,144,29000
1.3 Cr,64.54 K,6,Tollygunge,3000,4.33,64.54,13000
90.0 L,44.68 K,4,Lake Gardens,2100,4.29,44.68,9000
1.3 Cr,64.54 K,4,Kasba,2000,6.5,64.54,13000
2.8 Cr,1.39 Lacs,10,Madhyamgram,19201,1.46,139,28000
10.0 Cr,4.96 Lacs,10,Kalighat,10600,9.43,496,100000
11.5 Cr,5.71 Lacs,8,Gariahat,8500,13.53,571,115000
7.5 Cr,3.72 Lacs,9,Kalighat,6000,12.5,372,75000
19.0 L,10.06 K,2,Joka,800,2.38,10.06,1900
6.0 Cr,2.98 Lacs,6,New Alipore,1799,33.35,298,60000
1.0 Cr,49.65 K,7,Purba Barisha,2160,4.63,49.65,10000
2.8 Cr,1.39 Lacs,10,Bijoygarh,4500,6.22,139,28000
85.0 L,42.20 K,4,Kamdahari,1200,7.08,42.2,8500
1.3 Cr,64.54 K,5,New Alipore,1600,8.13,64.54,13000
1.0 Cr,49.65 K,5,New Town,2400,4.17,49.65,10000
2.5 Cr,1.24 Lacs,4,Lake Gardens,3200,7.81,124,25000
4.5 Cr,2.23 Lacs,6,Lake Gardens,4000,11.25,223,45000
1.4 Cr,69.50 K,5,Mukundapur,2000,7,69.5,14000
5.0 Cr,2.48 Lacs,10,Bow Bazaar,4000,12.5,248,50000
2.85 Cr,1.41 Lacs,10,Kalikapur,5000,5.7,141,28500
2.2 Cr,1.09 Lacs,5,Salt Lake City,2340,9.4,109,22000
35.01 L,18.54 K,3,Joka,1335,2.62,18.54,3501
1.5 Cr,74.47 K,5,Garia,2000,7.5,74.47,15000
46.8 L,24.78 K,3,Joka,1352,3.46,24.78,4680
38.0 L,20.12 K,3,Garia,1200,3.17,20.12,3800
50.0 L,26.48 K,3,Garia,1550,3.23,26.48,5000
15.0 L,7.94 K,2,Thakurpukur,840,1.78,7.94,1500
55.0 L,29.13 K,4,Bansdroni,1400,3.93,29.13,5500
2.2 Cr,1.09 Lacs,6,Salt Lake City,2340,9.4,109,22000
35.1 L,18.59 K,3,Joka,1135,3.09,18.59,3510
27.0 L,14.30 K,3,Paschim Barisha,1455,1.85,14.3,2700
34.0 L,18.00 K,4,Joka,1490,2.28,18,3400
1.6 Cr,79.43 K,9,Garia,6000,2.67,79.43,16000
24.15 L,12.79 K,2,Joka,900,2.68,12.79,2415
16.76 L,8.88 K,2,Joka,745,2.25,8.88,1676
2.0 Cr,99.29 K,2,Ballygunge,2200,9.09,99.29,20000
2.1 Cr,1.04 Lacs,5,Lake Gardens,3000,7,104,21000
44.0 L,23.30 K,3,Maheshtala,1366,3.22,23.3,4400
2.85 Cr,1.41 Lacs,10,Kalikapur,5000,5.7,141,28500
2.2 Cr,1.09 Lacs,5,Salt Lake City,2340,9.4,109,22000
35.01 L,18.54 K,3,Joka,1335,2.62,18.54,3501
1.5 Cr,74.47 K,5,Garia,2000,7.5,74.47,15000
46.8 L,24.78 K,3,Joka,1352,3.46,24.78,4680
38.0 L,20.12 K,3,Garia,1200,3.17,20.12,3800
50.0 L,26.48 K,3,Garia,1550,3.23,26.48,5000
15.0 L,7.94 K,2,Thakurpukur,840,1.78,7.94,1500
55.0 L,29.13 K,4,Bansdroni,1400,3.93,29.13,5500
2.2 Cr,1.09 Lacs,6,Salt Lake City,2340,9.4,109,22000
35.1 L,18.59 K,3,Joka,1135,3.09,18.59,3510
27.0 L,14.30 K,3,Paschim Barisha,1455,1.85,14.3,2700
34.0 L,18.00 K,4,Joka,1490,2.28,18,3400
1.6 Cr,79.43 K,9,Garia,6000,2.67,79.43,16000
24.15 L,12.79 K,2,Joka,900,2.68,12.79,2415
16.76 L,8.88 K,2,Joka,745,2.25,8.88,1676
2.0 Cr,99.29 K,2,Ballygunge,2200,9.09,99.29,20000
2.1 Cr,1.04 Lacs,5,Lake Gardens,3000,7,104,21000
44.0 L,23.30 K,3,Maheshtala,1366,3.22,23.3,4400
1.1 Cr,54.61 K,5,Bramhapur,2123,5.18,54.61,11000
60.0 L,31.77 K,4,Rajpur Sonarpur,2000,3,31.77,6000
3.0 Cr,1.49 Lacs,10,Kalikapur,5400,5.55,149,30000
1.6 Cr,79.43 K,5,Rajpur Sonarpur,2000,8,79.43,16000
60.0 L,31.77 K,2,Rajpur Sonarpur,900,6.67,31.77,6000
1.6 Cr,79.43 K,4,Lake Gardens,1800,8.89,79.43,16000
60.0 L,31.77 K,2,Rajpur Sonarpur,900,6.67,31.77,6000
1.6 Cr,79.43 K,4,Haltu,1680,9.52,79.43,16000
70.0 L,37.07 K,3,Rajpur Sonarpur,840,8.33,37.07,7000
1.6 Cr,79.43 K,6,Garfa,3000,5.33,79.43,16000
1.3 Cr,64.54 K,3,Rajpur Sonarpur,1680,7.74,64.54,13000
65.0 L,34.42 K,4,Rajpur Sonarpur,1800,3.61,34.42,6500
1.2 Cr,59.58 K,5,Santoshpur,2000,6,59.58,12000
25.0 L,13.24 K,1,Tangra,580,4.31,13.24,2500
1.1 Cr,54.61 K,2,Tangra,1200,9.17,54.61,11000
49.0 L,25.95 K,3,Tangra,900,5.44,25.95,4900
90.0 L,44.68 K,3,Tangra,1080,8.33,44.68,9000
1.0 Cr,49.65 K,2,Tangra,1500,6.67,49.65,10000
85.0 L,42.20 K,3,Joka,1800,4.72,42.2,8500
1.5 Cr,74.47 K,9,South Dum Dum,2161,6.94,74.47,15000
1.1 Cr,54.61 K,5,Bramhapur,2123,5.18,54.61,11000
60.0 L,31.77 K,4,Rajpur Sonarpur,2000,3,31.77,6000
3.0 Cr,1.49 Lacs,10,Kalikapur,5400,5.55,149,30000
1.6 Cr,79.43 K,5,Rajpur Sonarpur,2000,8,79.43,16000
60.0 L,31.77 K,2,Rajpur Sonarpur,900,6.67,31.77,6000
1.6 Cr,79.43 K,4,Lake Gardens,1800,8.89,79.43,16000
60.0 L,31.77 K,2,Rajpur Sonarpur,900,6.67,31.77,6000
1.6 Cr,79.43 K,4,Haltu,1680,9.52,79.43,16000
70.0 L,37.07 K,3,Rajpur Sonarpur,840,8.33,37.07,7000
1.6 Cr,79.43 K,6,Garfa,3000,5.33,79.43,16000
1.3 Cr,64.54 K,3,Rajpur Sonarpur,1680,7.74,64.54,13000
65.0 L,34.42 K,4,Rajpur Sonarpur,1800,3.61,34.42,6500
1.2 Cr,59.58 K,5,Santoshpur,2000,6,59.58,12000
25.0 L,13.24 K,1,Tangra,580,4.31,13.24,2500
1.1 Cr,54.61 K,2,Tangra,1200,9.17,54.61,11000
49.0 L,25.95 K,3,Tangra,900,5.44,25.95,4900
90.0 L,44.68 K,3,Tangra,1080,8.33,44.68,9000
1.0 Cr,49.65 K,2,Tangra,1500,6.67,49.65,10000
85.0 L,42.20 K,3,Joka,1800,4.72,42.2,8500
1.5 Cr,74.47 K,9,South Dum Dum,2161,6.94,74.47,15000
1.1 Cr,54.61 K,6,Birati,1800,6.11,54.61,11000
65.0 L,34.42 K,3,Baghajatin,1440,4.51,34.42,6500
75.0 L,39.72 K,3,Baghajatin,2160,3.47,39.72,7500
70.0 L,37.07 K,5,Birati,2700,2.59,37.07,7000
88.0 L,43.69 K,5,Behala,1250,7.04,43.69,8800
2.0 Cr,99.29 K,10,Tollygunge,3700,5.41,99.29,20000
1.65 Cr,81.92 K,4,Garia,1875,8.8,81.92,16500
4.3 Cr,2.13 Lacs,4,Dhakuria,2500,17.2,213,43000
45.0 L,23.83 K,3,Hanspukuria,1390,3.24,23.83,4500
1.0 Cr,49.65 K,10,Dum Dum Cantonment,5200,1.92,49.65,10000
3.5 Cr,1.74 Lacs,8,Tollygunge,2565,13.64,174,35000
95.0 L,47.16 K,6,Kamalgazi,2400,3.96,47.16,9500
1.2 Cr,59.58 K,5,Garfa,4500,2.67,59.58,12000
1.6 Cr,79.43 K,7,Tollygunge,3000,5.33,79.43,16000
1.8 Cr,89.36 K,7,Ganguly Bagan,2565,7.02,89.36,18000
98.11 L,48.71 K,3,New Alipore,1168,8.4,48.71,9811
65.0 L,34.42 K,6,East Kolkata Township,2200,2.95,34.42,6500
60.0 L,31.77 K,3,Dakshin Gobindopur,1424,4.21,31.77,6000
65.0 L,34.42 K,3,Dakshin Gobindopur,1518,4.28,34.42,6500
1.47 Cr,72.98 K,3,Behala,18228,806/sq.ft,72.98,14700
1.5 Cr,74.47 K,9,South Dum Dum,2161,6.94,74.47,15000
65.0 L,34.42 K,3,Baghajatin,1440,4.51,34.42,6500
75.0 L,39.72 K,3,Baghajatin,2160,3.47,39.72,7500
70.0 L,37.07 K,5,Birati,2700,2.59,37.07,7000
88.0 L,43.69 K,5,Behala,1250,7.04,43.69,8800
2.0 Cr,99.29 K,10,Tollygunge,3700,5.41,99.29,20000
1.65 Cr,81.92 K,4,Garia,1875,8.8,81.92,16500
4.3 Cr,2.13 Lacs,4,Dhakuria,2500,17.2,213,43000
45.0 L,23.83 K,3,Hanspukuria,1390,3.24,23.83,4500
1.0 Cr,49.65 K,10,Dum Dum Cantonment,5200,1.92,49.65,10000
3.5 Cr,1.74 Lacs,8,Tollygunge,2565,13.64,174,35000
95.0 L,47.16 K,6,Kamalgazi,2400,3.96,47.16,9500
1.2 Cr,59.58 K,5,Garfa,4500,2.67,59.58,12000
1.6 Cr,79.43 K,7,Tollygunge,3000,5.33,79.43,16000
1.8 Cr,89.36 K,7,Ganguly Bagan,2565,7.02,89.36,18000
98.11 L,48.71 K,3,New Alipore,1168,8.4,48.71,9811
65.0 L,34.42 K,6,East Kolkata Township,2200,2.95,34.42,6500
60.0 L,31.77 K,3,Dakshin Gobindopur,1424,4.21,31.77,6000
65.0 L,34.42 K,3,Dakshin Gobindopur,1518,4.28,34.42,6500
1.47 Cr,72.98 K,3,Behala,18228,806/sq.ft,72.98,14700
3.6 Cr,1.79 Lacs,8,Lake Gardens,3600,10,179,36000
3.0 Cr,1.49 Lacs,5,Bhowanipore,2160,13.89,149,30000
80.0 L,39.72 K,3,Purba Barisha,1200,6.67,39.72,8000
75.0 L,39.72 K,6,Purba Barisha,3200,2.34,39.72,7500
2.0 Cr,99.29 K,7,Tollygunge,3000,6.67,99.29,20000
1.0 Cr,49.65 K,4,Garia,1600,6.25,49.65,10000
55.0 L,29.13 K,5,Rajarhat,2000,2.75,29.13,5500
96.0 L,47.66 K,5,Bramhapur,3500,2.74,47.66,9600
70.0 L,37.07 K,6,Madhyamgram,5100,1.37,37.07,7000
1.0 Cr,49.65 K,5,Behala,1600,6.25,49.65,10000
2.5 Cr,1.24 Lacs,6,New Alipore,3000,8.33,124,25000
1.0 Cr,49.65 K,6,Rajpur Sonarpur,2166,4.62,49.65,10000
32.0 L,16.95 K,3,Joka,1440,2.22,16.95,3200
3.25 Cr,1.61 Lacs,7,Lake Gardens,3000,10.83,161,32500
90.0 L,44.68 K,4,Dum Dum,1800,5,44.68,9000
1.3 Cr,64.54 K,3,Santoshpur,2200,5.91,64.54,13000
4.0 Cr,1.99 Lacs,6,Gariahat,2500,16,199,40000
3.0 Cr,1.49 Lacs,4,Tollygunge,10000,3,149,30000
68.0 L,36.01 K,4,Thakurpukur,1750,3.88,36.01,6800
1.7 Cr,84.40 K,7,Kamardanga,4000,4.25,84.4,17000
3.6 Cr,1.79 Lacs,8,Lake Gardens,3600,10,179,36000
3.0 Cr,1.49 Lacs,5,Bhowanipore,2160,13.89,149,30000
80.0 L,39.72 K,3,Purba Barisha,1200,6.67,39.72,8000
75.0 L,39.72 K,6,Purba Barisha,3200,2.34,39.72,7500
2.0 Cr,99.29 K,7,Tollygunge,3000,6.67,99.29,20000
1.0 Cr,49.65 K,4,Garia,1600,6.25,49.65,10000
55.0 L,29.13 K,5,Rajarhat,2000,2.75,29.13,5500
96.0 L,47.66 K,5,Bramhapur,3500,2.74,47.66,9600
70.0 L,37.07 K,6,Madhyamgram,5100,1.37,37.07,7000
1.0 Cr,49.65 K,5,Behala,1600,6.25,49.65,10000
2.5 Cr,1.24 Lacs,6,New Alipore,3000,8.33,124,25000
1.0 Cr,49.65 K,6,Rajpur Sonarpur,2166,4.62,49.65,10000
32.0 L,16.95 K,3,Joka,1440,2.22,16.95,3200
