Flat_Price,EMI_Starts,BHK,Location,Total_sq.ft,Price_per_sq.ft,EMI,Flat_Price_K
40.0 L,21.18 K,2,Shyamnagar,2390,1.67,21.18,4000
90.0 L,44.68 K,5,Garia,2200,4.09,44.68,9000
85.0 L,42.20 K,4,Garia,3000,2.83,42.2,8500
1.37 Cr,68.02 K,3,Rajpur Sonarpur,3000,4.57,68.02,13700
35.0 L,18.53 K,2,Garia,700,5,18.53,3500
48.0 L,25.42 K,3,Thakurpukur,1800,2.67,25.42,4800
1.1 Cr,54.61 K,4,Paschim Putiary,2500,4.4,54.61,11000
2.25 Cr,1.12 Lacs,5,Behala,2800,8.04,112,22500
7.0 Cr,3.48 Lacs,8,Gariahat,4320,16.2,348,70000
3.5 Cr,1.74 Lacs,10,Kaikhali,13000,2.69,174,35000
90.0 L,44.68 K,6,Behala,3900,2.31,44.68,9000
1.3 Cr,64.54 K,4,Purba Barisha,4300,3.02,64.54,13000
72.0 L,38.13 K,6,Sarsuna,3000,2.4,38.13,7200
90.0 L,44.68 K,6,Behala,3000,3,44.68,9000
1.3 Cr,64.54 K,5,Joka,6600,1.97,64.54,13000
60.0 L,31.77 K,4,Hanspukuria,2700,2.22,31.77,6000
1.3 Cr,64.54 K,7,Purba Barisha,4800,2.71,64.54,13000
1.5 Cr,74.47 K,8,Behala,3600,4.17,74.47,15000
1.5 Cr,74.47 K,7,Paschim Barisha,5100,2.94,74.47,15000
2.0 Cr,99.29 K,6,Kalighat,2200,9.09,99.29,20000
55.0 L,29.13 K,5,Joka,1620,3.4,29.13,5500
85.0 L,42.20 K,4,Garia,3000,2.83,42.2,8500
1.37 Cr,68.02 K,3,Rajpur Sonarpur,3000,4.57,68.02,13700
35.0 L,18.53 K,2,Garia,700,5,18.53,3500
48.0 L,25.42 K,3,Thakurpukur,1800,2.67,25.42,4800
1.1 Cr,54.61 K,4,Paschim Putiary,2500,4.4,54.61,11000
2.25 Cr,1.12 Lacs,5,Behala,2800,8.04,112,22500
7.0 Cr,3.48 Lacs,8,Gariahat,4320,16.2,348,70000
3.5 Cr,1.74 Lacs,10,Kaikhali,13000,2.69,174,35000
90.0 L,44.68 K,6,Behala,3900,2.31,44.68,9000
1.3 Cr,64.54 K,4,Purba Barisha,4300,3.02,64.54,13000
72.0 L,38.13 K,6,Sarsuna,3000,2.4,38.13,7200
90.0 L,44.68 K,6,Behala,3000,3,44.68,9000
1.3 Cr,64.54 K,5,Joka,6600,1.97,64.54,13000
60.0 L,31.77 K,4,Hanspukuria,2700,2.22,31.77,6000
1.3 Cr,64.54 K,7,Purba Barisha,4800,2.71,64.54,13000
1.5 Cr,74.47 K,8,Behala,3600,4.17,74.47,15000
1.5 Cr,74.47 K,7,Paschim Barisha,5100,2.94,74.47,15000
2.0 Cr,99.29 K,6,Kalighat,2200,9.09,99.29,20000
55.0 L,29.13 K,5,Joka,1620,3.4,29.13,5500
55.0 L,29.13 K,3,Thakurpukur,1440,3.82,29.13,5500
1.65 Cr,81.92 K,5,Dum Dum,2000,8.25,81.92,16500
19.0 L,10.06 K,2,Bhatpara,2385,796/sq.ft,10.06,1900
25.0 L,13.24 K,2,Shyamnagar,1000,2.5,13.24,2500
95.0 L,47.16 K,4,Behala,2800,3.39,47.16,9500
12.5 Cr,6.21 Lacs,5,Gariahat,11500,10.87,621,125000
70.0 L,37.07 K,6,Purba Barisha,3000,2.33,37.07,7000
40.0 Cr,19.86 Lacs,10,Ballygunge,10000,40,1986,400000
5.0 Cr,2.48 Lacs,10,Kalighat,6000,8.33,248,50000
98.0 L,48.65 K,4,Ganguly Bagan,3000,3.27,48.65,9800
12.0 Cr,5.96 Lacs,10,Ballygunge,4000,30,596,120000
72.0 L,38.13 K,2,Rajpur Sonarpur,2400,3,38.13,7200
95.0 L,47.16 K,6,Santoshpur,2500,3.8,47.16,9500
1.05 Cr,52.13 K,5,Kasba,4400,2.39,52.13,10500
78.0 L,38.72 K,6,Santoshpur,3000,2.6,38.72,7800
1.75 Cr,86.88 K,5,Tollygunge,2200,7.95,86.88,17500
1.6 Cr,79.43 K,6,Kalighat,2200,7.27,79.43,16000
7.0 Cr,3.48 Lacs,6,Ballygunge,5300,13.21,348,70000
27.0 L,14.30 K,3,Joka,1100,2.45,14.3,2700
3.2 Cr,1.59 Lacs,5,Salt Lake City,3060,10.46,159,32000
1.65 Cr,81.92 K,5,Dum Dum,2000,8.25,81.92,16500
19.0 L,10.06 K,2,Bhatpara,2385,796/sq.ft,10.06,1900
25.0 L,13.24 K,2,Shyamnagar,1000,2.5,13.24,2500
95.0 L,47.16 K,4,Behala,2800,3.39,47.16,9500
12.5 Cr,6.21 Lacs,5,Gariahat,11500,10.87,621,125000
70.0 L,37.07 K,6,Purba Barisha,3000,2.33,37.07,7000
40.0 Cr,19.86 Lacs,10,Ballygunge,10000,40,1986,400000
5.0 Cr,2.48 Lacs,10,Kalighat,6000,8.33,248,50000
98.0 L,48.65 K,4,Ganguly Bagan,3000,3.27,48.65,9800
12.0 Cr,5.96 Lacs,10,Ballygunge,4000,30,596,120000
72.0 L,38.13 K,2,Rajpur Sonarpur,2400,3,38.13,7200
95.0 L,47.16 K,6,Santoshpur,2500,3.8,47.16,9500
1.05 Cr,52.13 K,5,Kasba,4400,2.39,52.13,10500
78.0 L,38.72 K,6,Santoshpur,3000,2.6,38.72,7800
1.75 Cr,86.88 K,5,Tollygunge,2200,7.95,86.88,17500
1.6 Cr,79.43 K,6,Kalighat,2200,7.27,79.43,16000
7.0 Cr,3.48 Lacs,6,Ballygunge,5300,13.21,348,70000
27.0 L,14.30 K,3,Joka,1100,2.45,14.3,2700
3.2 Cr,1.59 Lacs,5,Salt Lake City,3060,10.46,159,32000
2.5 Cr,1.24 Lacs,4,Salt Lake City,2340,10.68,124,25000
